Hãng,Model,Năm ra mắt,RAM (GB),Bộ nhớ (GB),Pin (mAh),Camera (MP),Màn hình (inch),Hệ điều hành,Giá (VNĐ)
Samsung,Galaxy S21,2021,8,128,4000,64,6.2,Android,19975000
Apple,iPhone 13,2021,4,128,3240,12,6.1,iOS,19975000
Xiaomi,Mi 11,2021,8,256,4600,108,6.8,Android,18725000
Oppo,Find X3 Pro,2021,12,256,4500,50,6.7,Android,27475000
Vivo,X60 Pro,2021,12,256,4200,48,6.6,Android,22475000
Realme,GT Neo,2021,8,128,4500,64,6.6,Android,12475000
Samsung,Galaxy A52,2021,6,128,4500,64,6.5,Android,9975000
Apple,iPhone 12,2020,4,64,2815,12,6.1,iOS,17475000
Xiaomi,Redmi Note 10,2021,4,64,5000,48,6.43,Android,4975000
Samsung,Galaxy Note 20,2020,8,256,4300,64,6.7,Android,24975000
Apple,iPhone SE,2020,3,64,1821,12,4.7,iOS,9975000
Oppo,Reno5,2021,8,128,4310,64,6.43,Android,11250000
Vivo,V21,2021,8,128,4000,64,6.44,Android,10500000
Realme,8 Pro,2021,8,128,4500,108,6.4,Android,8000000
Samsung,Samsung Model 22-101,2022,16,256,4020,48,6.72,Android,15205000
Samsung,Samsung Model 22-393,2022,12,512,4520,108,6.52,Android,15014000
OnePlus,OnePlus Model 22-201,2022,8,256,4020,12,6.72,Android,7168000
OnePlus,OnePlus Model 22-277,2022,12,128,4020,12,6.12,Android,8900000
OnePlus,OnePlus Model 22-34,2022,16,128,4520,12,6.72,Android,11564000
Google,Google Model 22-98,2022,8,512,4520,108,6.72,Android,13288000
Oppo,Oppo Model 22-183,2022,6,256,3020,64,6.52,Android,8106000
Google,Google Model 22-235,2022,8,128,5020,48,6.12,Android,10593000
Oppo,Oppo Model 23-470,2023,7,256,4040,48,6.14,Android,7436000
Oppo,Oppo Model 23-156,2023,7,512,4540,64,6.14,Android,7915000
Oppo,Oppo Model 23-318,2023,17,512,4040,108,6.44,Android,16559000
Apple,Apple Model 23-393,2023,17,64,5040,12,6.74,iOS,18993000
Oppo,Oppo Model 23-19,2023,13,128,5040,64,6.44,Android,10936000
Apple,Apple Model 23-236,2023,7,64,4040,64,6.54,iOS,13486000
Samsung,Samsung Model 23-397,2023,17,256,4540,64,6.54,Android,16342000
Xiaomi,Xiaomi Model 23-108,2023,13,64,4040,48,6.74,Android,9881000
Google,Google Model 24-458,2024,17,128,3060,108,6.16,Android,18055000
Xiaomi,Xiaomi Model 24-392,2024,9,512,3060,64,6.56,Android,9237000
Oppo,Oppo Model 24-53,2024,9,256,5060,48,6.16,Android,8230000
Samsung,Samsung Model 24-81,2024,17,512,4560,48,6.56,Android,15905000
Google,Google Model 24-120,2024,7,256,4560,48,6.46,Android,9588000
Xiaomi,Xiaomi Model 24-44,2024,13,512,4560,48,6.76,Android,10238000
Xiaomi,Xiaomi Model 24-382,2024,17,256,5060,48,6.56,Android,12723000
Google,Google Model 24-225,2024,9,1024,4060,64,6.76,Android,12895000
Samsung,Samsung Model 25-361,2025,8,256,5080,12,6.48,Android,7574000
Xiaomi,Xiaomi Model 25-428,2025,18,512,4580,12,6.48,Android,12711000
Oppo,Oppo Model 25-48,2025,14,512,4080,48,6.58,Android,12801000
Realme,Realme Model 25-21,2025,14,128,5080,48,6.78,Android,10962000
Apple,Apple Model 25-396,2025,10,512,3080,64,6.18,iOS,16456000
Apple,Apple Model 25-174,2025,10,1024,5080,64,6.48,iOS,18492000
Xiaomi,Xiaomi Model 25-33,2025,8,128,5080,48,6.48,Android,7189000
Samsung,Samsung Model 25-468,2025,10,256,4580,48,6.48,Android,10518000
Vivo,Vivo Model 26-425,2026,10,1024,4100,108,6.5,Android,12317000
Oppo,Oppo Model 26-448,2026,10,128,4100,108,6.2,Android,10904000
Xiaomi,Xiaomi Model 26-365,2026,14,256,3100,64,6.6,Android,11512000
Realme,Realme Model 26-458,2026,18,1024,4100,12,6.6,Android,12583000
Apple,Apple Model 26-230,2026,8,128,4600,64,6.5,iOS,14697000
OnePlus,OnePlus Model 26-146,2026,18,256,3100,108,6.6,Android,16861000
Google,Google Model 26-150,2026,10,1024,5100,12,6.2,Android,11498000
Oppo,Oppo Model 26-374,2026,18,1024,3100,108,6.2,Android,17805000
Apple,Apple Model 27-168,2027,19,192,4620,48,6.52,iOS,21622000
Realme,Realme Model 27-373,2027,11,384,5120,12,6.62,Android,7663000
Samsung,Samsung Model 27-446,2027,19,1536,3120,12,6.22,Android,18637000
Apple,Apple Model 27-437,2027,15,192,4120,64,6.62,iOS,20290000
Xiaomi,Xiaomi Model 27-217,2027,11,1536,5120,48,6.82,Android,11722000
Apple,Apple Model 27-66,2027,19,192,3120,12,6.52,iOS,20409000
Google,Google Model 27-209,2027,9,384,4620,108,6.62,Android,12787000
Apple,Apple Model 27-369,2027,19,1536,3120,64,6.22,iOS,24740000
